Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
BR-262;Oeste;Meio-Fio;0+006;0+017;11;-20.79109056;-51.62107572;-20.79108223;-51.62114881
BR-262;Oeste;Meio-Fio;1+568;2+022;454;-20.78934551;-51.6365944;-20.78860787;-51.64083682
BR-262;Oeste;Meio-Fio;2+033;2+044;11;-20.78859872;-51.64094497;-20.78858866;-51.6410523
BR-262;Oeste;Meio-Fio;2+049;2+592;543;-20.78858403;-51.64109795;-20.78874203;-51.64627427
BR-262;Oeste;Meio-Fio;2+602;3+110;508;-20.7887438;-51.64637371;-20.78834473;-51.65119499
BR-262;Oeste;Meio-Fio;3+121;3+985;864;-20.788311;-51.65128121;-20.78228488;-51.65597122
BR-262;Oeste;Meio-Fio;4+000;4+027;27;-20.78215419;-51.65592589;-20.78192625;-51.65591978
BR-262;Oeste;Meio-Fio;4+063;4+089;;-20.7816477;-51.65608704;-20.78152511;-51.6562992
BR-262;Oeste;Meio-Fio;4+194;4+287;x;-20.78190568;-51.65712913;-20.78197939;-51.6580116
BR-262;Oeste;Meio-Fio;4+297;4+354;57;-20.7819779;-51.65810874;-20.7819559;-51.65865262
BR-262;Oeste;Meio-Fio;4+401;4+489;88;-20.78193343;-51.65909317;-20.78191596;-51.65993525
BR-262;Oeste;Meio-Fio;4+505;5+056;551;-20.78191537;-51.66008425;-20.7818406;-51.66535235
BR-262;Oeste;Meio-Fio;5+071;5+087;16;-20.78184314;-51.66550576;-20.78184317;-51.66565458
BR-262;Oeste;Meio-Fio;5+097;5+118;21;-20.78184101;-51.6657579;-20.78183738;-51.66595844
BR-262;Oeste;Meio-Fio;5+150;5+491;341;-20.78183156;-51.66625099;-20.78172396;-51.66952662
BR-262;Oeste;Meio-Fio;5+542;5+558;16;-20.78170035;-51.67000934;-20.78170451;-51.67016227
BR-262;Oeste;Meio-Fio;5+696;5+754;58;-20.78202108;-51.67142953;-20.782233;-51.6719436
BR-262;Oeste;Meio-Fio;5+764;5+791;27;-20.78227273;-51.67202514;-20.78239141;-51.67225356
BR-262;Oeste;Meio-Fio;5+812;5+860;48;-20.78250868;-51.67244654;-20.78272809;-51.67274715
